50 "set balanced auto fan mode"
64 "set balanced manual fan mode 3500 rpm"
86 "set balanced manual fan mode 2000 rpm"
97 "set balanced manual fan mode 5000 rpm"
99 "set balanced auto fan mode"
130 "set silent mode"
157 "set custom mode, cpu boost, gpu high"
206 "custom mode, cpu high, gpu high"
222 "custom mode, cpu middle, gpu high"
247 "custom mode, cpu low, gpu high"
275 "custom mode, cpu low, gpu middle"
289 "custom mode, cpu low, gpu low"
299 "custom mode, cpu low, gpu high"
310 "custom mode, cpu boost, gpu high"
332 "enable max fan speed"
353 "disable max fan speed"
411 "custom mode, cpu overclock, gpu high"
518 "custom mode, cpu boost, gpu high"
566 "battery health, 80%"
579 "disable battery health"
591 "enable battery health"
728 "decrease keyboard light"
747 "increase keyboard light"
806 "set lid logo static"
813 "set lid logo breathing"
818 "set lid logo off"
